,ID,Name,Subsystem,Reaction,Readable reaction,Lower bound,Upper bound,Reversibility,Boundary,Genes,EC,KEGG,BiGG,VMH
1982,MAR01162,,Leukotriene metabolism,MAM01120x + MAM01802x --> MAM01119x + MAM01803x,"5-oxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [x] + FAD [x] --> 5-oxo-12(R)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA [x] + FADH2 [x]",0.0,1000.0,False,False,ENSG00000087008 or ENSG00000161533,1.3.3.6,,,RE3334X
1983,MAR01163,,Leukotriene metabolism,MAM01119m + MAM02040m --> MAM00689m,"5-oxo-12(R)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA [m] + H2O [m] --> 3(S),12(R)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA [m]",0.0,1000.0,False,False,ENSG00000084754,4.2.1.17,,,RE3337M
1984,MAR01164,,Leukotriene metabolism,MAM01119x + MAM02040x --> MAM00689x,"5-oxo-12(R)-hydroxy-eicosa-(2E,8E,10E,14Z)-tetraenoyl-CoA [x] + H2O [x] --> 3(S),12(R)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA [x]",0.0,1000.0,False,False,ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721,4.2.1.17,,,RE3337X
1985,MAR01165,,Leukotriene metabolism,MAM00689m + MAM02552m --> MAM00740m + MAM02039m + MAM02553m,"3(S),12(R)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA [m] + NAD+ [m] --> 3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [m] + H+ [m] + NADH [m]",0.0,1000.0,False,False,ENSG00000072506 and ENSG00000084754 and ENSG00000138796,"1.1.1.35, 1.1.1.211",,,RE3338M
1986,MAR01166,,Leukotriene metabolism,MAM00689x + MAM02552x --> MAM00740x + MAM02039x + MAM02553x,"3(S),12(R)-dihydroxy-5-oxo-eicosa-(8E,10E,14Z)-trienoyl-CoA [x] + NAD+ [x] --> 3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [x] + H+ [x] + NADH [x]",0.0,1000.0,False,False,ENSG00000060971 and ENSG00000113790 and ENSG00000133835,"1.1.1.35, 1.1.1.211",,,RE3338X
1987,MAR01167,,Leukotriene metabolism,MAM00740m + MAM01597m --> MAM00836m + MAM01261m,"3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [m] + CoA [m] --> 3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA [m] + acetyl-CoA [m]",0.0,1000.0,False,False,ENSG00000084754 and ENSG00000138029 and ENSG00000167315,"2.3.1.16, 1.1.1.211",,,RE3336M
1988,MAR01168,,Leukotriene metabolism,MAM00740x + MAM01597x --> MAM00836x + MAM01261x,"3,5-dioxo-12(R)-hydroxy-eicosa-(8E,10E,14Z)-trienoyl-CoA [x] + CoA [x] --> 3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA [x] + acetyl-CoA [x]",0.0,1000.0,False,False,ENSG00000060971 and ENSG00000167306,2.3.1.16,,,RE3336X
1989,MAR01170,,Leukotriene metabolism,MAM00836m + MAM02040m --> MAM00835m + MAM01597m + MAM02039m,"3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA [m] + H2O [m] --> 3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate [m] + CoA [m] + H+ [m]",0.0,1000.0,False,False,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,3.1.2.2,,,RE3339M
1990,MAR01171,,Leukotriene metabolism,MAM00836x + MAM02040x --> MAM00835x + MAM01597x + MAM02039x,"3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoyl-CoA [x] + H2O [x] --> 3-oxo-10(R)-hydroxy-octadeca-(6E,8E,12Z)-trienoate [x] + CoA [x] + H+ [x]",0.0,1000.0,False,False,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,3.1.2.2,,,RE3339X
1991,MAR01186,,Leukotriene metabolism,MAM01118c <=> MAM01123c,5-oxo-(6E)-12-epi-LTB4 [c] <=> 5-oxo-12-HETE [c],-1000.0,1000.0,True,False,,,,,HMR_1186
