,ID,Name,Subsystem,Reaction,Readable reaction,Lower bound,Upper bound,Reversibility,Boundary,Genes,EC,KEGG,BiGG,VMH
0,MAR03905,ethanol:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM01796c + MAM02552c --> MAM01249c + MAM02039c + MAM02553c,ethanol [c] + NAD+ [c] --> acetaldehyde [c] + H+ [c] + NADH [c],0.0,1000.0,False,False,ENSG00000147576 or ENSG00000172955 or ENSG00000180011 or ENSG00000187758 or ENSG00000196344 or ENSG00000196616 or ENSG00000197894 or ENSG00000198099 or ENSG00000248144,"1.1.1.1, 1.1.1.71",R00754,ALCD2x,ALCD2if
1,MAR03907,Ethanol:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM01796c + MAM02554c --> MAM01249c + MAM02039c + MAM02555c,ethanol [c] + NADP+ [c] --> acetaldehyde [c] + H+ [c] + NADPH [c],0.0,1000.0,False,False,ENSG00000117448,1.1.1.2,R00746,ALCD2y,ALCD2yf
2,MAR04097,Acetate:CoA ligase (AMP-forming),Glycolysis / Gluconeogenesis,MAM01252c + MAM01371c + MAM01597c --> MAM01261c + MAM01334c + MAM02759c,acetate [c] + ATP [c] + CoA [c] --> acetyl-CoA [c] + AMP [c] + PPi [c],0.0,1000.0,False,False,ENSG00000131069,6.2.1.1,R00235,ACS,ACS
3,MAR04099,Acetate:CoA ligase (AMP-forming),Glycolysis / Gluconeogenesis,MAM01252m + MAM01371m + MAM01597m --> MAM01261m + MAM01334m + MAM02759m,acetate [m] + ATP [m] + CoA [m] --> acetyl-CoA [m] + AMP [m] + PPi [m],0.0,1000.0,False,False,ENSG00000111058 or ENSG00000154930,6.2.1.1,R00235,ACSm,ACSm
4,MAR04108,acetyl adenylate:CoA acetyltransferase,Glycolysis / Gluconeogenesis,MAM01257c + MAM01597c --> MAM01261c + MAM01334c + MAM02039c,acetyl adenylate [c] + CoA [c] --> acetyl-CoA [c] + AMP [c] + H+ [c],0.0,1000.0,False,False,ENSG00000131069,6.2.1.1,R00236,,r0068
5,MAR04133,ATP:acetate adenylyltransferase,Glycolysis / Gluconeogenesis,MAM01252c + MAM01371c + MAM02039c --> MAM01257c + MAM02759c,acetate [c] + ATP [c] + H+ [c] --> acetyl adenylate [c] + PPi [c],0.0,1000.0,False,False,ENSG00000131069,6.2.1.1,R00316,,r0097
6,MAR04281,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM02039x + MAM02553x + MAM02819x <=> MAM02403x + MAM02552x,H+ [x] + NADH [x] + pyruvate [x] <=> L-lactate [x] + NAD+ [x],-1000.0,1000.0,True,False,ENSG00000111716 or ENSG00000134333,1.1.1.27,R00703,,r0173
7,MAR04388,(S)-Lactate:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM02039c + MAM02553c + MAM02819c <=> MAM02403c + MAM02552c,H+ [c] + NADH [c] + pyruvate [c] <=> L-lactate [c] + NAD+ [c],-1000.0,1000.0,True,False,ENSG00000111716 or ENSG00000134333 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989,1.1.1.27,R00703,LDH_L,LDH_L
8,MAR04283,Acetaldehyde:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM01249c + MAM02040c + MAM02554c --> MAM01252c + 2.0 MAM02039c + MAM02555c,acetaldehyde [c] + H2O [c] + NADP+ [c] --> acetate [c] + 2.0 H+ [c] + NADPH [c],0.0,1000.0,False,False,ENSG00000006534 or ENSG00000108602 or ENSG00000132746 or ENSG00000184254,1.2.1.5,R00711,,ALDD2y
9,MAR08357,Acetaldehyde:NAD+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM01249m + MAM02040m + MAM02552m --> MAM01252m + 2.0 MAM02039m + MAM02553m,acetaldehyde [m] + H2O [m] + NAD+ [m] --> acetate [m] + 2.0 H+ [m] + NADH [m],0.0,1000.0,False,False,ENSG00000072210 or ENSG00000111275 or ENSG00000137124 or ENSG00000143149 or ENSG00000164904,1.2.1.3,R00710,ALDD2xm,ALDD2xm
10,MAR04379,ATP:D-fructose-6-phosphate 1-phosphotransferase,Glycolysis / Gluconeogenesis,MAM01371c + MAM01845c --> MAM01285c + MAM01841c + MAM02039c,"ATP [c] + fructose-6-phosphate [c] --> ADP [c] + fructose-1,6-bisphosphate [c] + H+ [c]",0.0,1000.0,False,False,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,2.7.1.11,R00756,PFK,PFK
11,MAR04301,UTP:D-fructose-6-phosphate 1-phosphotransferase,Glycolysis / Gluconeogenesis,MAM01845c + MAM03130c --> MAM01841c + MAM02039c + MAM03106c,"fructose-6-phosphate [c] + UTP [c] --> fructose-1,6-bisphosphate [c] + H+ [c] + UDP [c]",0.0,1000.0,False,False,ENSG00000067057 or ENSG00000141959 or ENSG00000152556,2.7.1.11,R00769,,r0191
12,MAR04355,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",Glycolysis / Gluconeogenesis,MAM01690c + MAM01785c --> MAM02883c,"DHAP [c] + erythrose-4-phosphate [c] --> sedoheptulose-1,7-bisphosphate [c]",0.0,1000.0,False,False,ENSG00000109107 or ENSG00000136872,4.1.2.13,R01829,,r0407
13,MAR04358,ATP:pyruvate 2-O-phosphotransferase,Glycolysis / Gluconeogenesis,MAM01285c + MAM02039c + MAM02696c --> MAM01371c + MAM02819c,ADP [c] + H+ [c] + PEP [c] --> ATP [c] + pyruvate [c],0.0,1000.0,False,False,ENSG00000067225 or ENSG00000143627,2.7.1.40,R00200,PYK,PYK
14,MAR04360,2-Oxopropanal:NADP+ oxidoreductase,Glycolysis / Gluconeogenesis,MAM02040c + MAM02475c + MAM02554c --> 2.0 MAM02039c + MAM02555c + MAM02819c,H2O [c] + methylglyoxal [c] + NADP+ [c] --> 2.0 H+ [c] + NADPH [c] + pyruvate [c],0.0,1000.0,False,False,ENSG00000180011,1.2.1.49,R00205,,r0055
15,MAR04363,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming),Glycolysis / Gluconeogenesis,MAM00674c <=> MAM02040c + MAM02696c,2-phospho-D-glycerate [c] <=> H2O [c] + PEP [c],-1000.0,1000.0,True,False,ENSG00000074800 or ENSG00000108515 or ENSG00000111674,4.2.1.11,R00658,ENO,ENO
16,MAR04365,"D-phosphoglycerate 2,3-phosphomutase",Glycolysis / Gluconeogenesis,MAM00913c <=> MAM00674c,3-phospho-D-glycerate [c] <=> 2-phospho-D-glycerate [c],-1000.0,1000.0,True,False,ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784,5.4.2.11,R01518,PGM,PGM
17,MAR04368,ATP:3-phospho-D-glycerate 1-phosphotransferase,Glycolysis / Gluconeogenesis,MAM00247c + MAM01285c <=> MAM00913c + MAM01371c,"1,3-bisphospho-D-glycerate [c] + ADP [c] <=> 3-phospho-D-glycerate [c] + ATP [c]",-1000.0,1000.0,True,False,ENSG00000096006 or ENSG00000102144 or ENSG00000170950,2.7.2.3,R01512,PGK,PGK
18,MAR04370,3-Phospho-D-glyceroyl phosphate phosphohydrolase,Glycolysis / Gluconeogenesis,MAM00247c + MAM02040c --> MAM00913c + MAM02039c + MAM02751c,"1,3-bisphospho-D-glycerate [c] + H2O [c] --> 3-phospho-D-glycerate [c] + H+ [c] + Pi [c]",0.0,1000.0,False,False,ENSG00000119640 or ENSG00000170634,3.6.1.7,R01515,ACYP,ACYP
19,MAR04371,"3-phospho-D-glycerate 1,2-phosphomutase",Glycolysis / Gluconeogenesis,MAM00247c --> MAM00569c + MAM02039c,"1,3-bisphospho-D-glycerate [c] --> 2,3-bisphospho-D-glycerate [c] + H+ [c]",0.0,1000.0,False,False,ENSG00000164708 or ENSG00000171314 or ENSG00000172331 or ENSG00000226784,"5.4.2.1, 5.4.2.4",R01662,,DPGM
20,MAR04372,"2,3-bisphospho-D-glycerate 2-phosphohydrolase",Glycolysis / Gluconeogenesis,MAM00569c + MAM02040c --> MAM00913c + MAM02751c,"2,3-bisphospho-D-glycerate [c] + H2O [c] --> 3-phospho-D-glycerate [c] + Pi [c]",0.0,1000.0,False,False,ENSG00000119640 or ENSG00000170634,3.1.3.13,R01516,,DPGase
21,MAR04373,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating),Glycolysis / Gluconeogenesis,MAM01939c + MAM02552c + MAM02751c <=> MAM00247c + MAM02039c + MAM02553c,"D-glyceraldehyde 3-phosphate [c] + NAD+ [c] + Pi [c] <=> 1,3-bisphospho-D-glycerate [c] + H+ [c] + NADH [c]",-1000.0,1000.0,True,False,ENSG00000105679 or ENSG00000111640,1.2.1.12,R01061,GAPD,GAPD
22,MAR04375,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",Glycolysis / Gluconeogenesis,MAM01841c <=> MAM01690c + MAM01939c,"fructose-1,6-bisphosphate [c] <=> DHAP [c] + D-glyceraldehyde 3-phosphate [c]",-1000.0,1000.0,True,False,ENSG00000109107 or ENSG00000136872 or ENSG00000149925,4.1.2.13,R01068,FBA,FBA
23,MAR04377,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase",Glycolysis / Gluconeogenesis,MAM01841c + MAM02040c --> MAM01845c + MAM02751c,"fructose-1,6-bisphosphate [c] + H2O [c] --> fructose-6-phosphate [c] + Pi [c]",0.0,1000.0,False,False,ENSG00000130957 or ENSG00000165140,3.1.3.11,R00762,FBP,FBP
24,MAR04381,D-glucose-6-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,MAM01968c <=> MAM01845c,glucose-6-phosphate [c] <=> fructose-6-phosphate [c],-1000.0,1000.0,True,False,ENSG00000105220,5.3.1.9,R00771,PGI,PGI
25,MAR04391,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase,Glycolysis / Gluconeogenesis,MAM01690c <=> MAM01939c,DHAP [c] <=> D-glyceraldehyde 3-phosphate [c],-1000.0,1000.0,True,False,ENSG00000111669,5.3.1.1,R01015,TPI,TPI
26,MAR04394,ATP:D-glucose 6-phosphotransferase,Glycolysis / Gluconeogenesis,MAM01371c + MAM01965c --> MAM01285c + MAM01968c + MAM02039c,ATP [c] + glucose [c] --> ADP [c] + glucose-6-phosphate [c] + H+ [c],0.0,1000.0,False,False,ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883,"2.7.1.1, 2.7.1.2, 2.7.1.147",R00299,HEX1,HEX1
27,MAR04396,"alpha-D-glucose 1,6-phosphomutase",Glycolysis / Gluconeogenesis,MAM01967c <=> MAM01968c,glucose-1-phosphate [c] <=> glucose-6-phosphate [c],-1000.0,1000.0,True,False,ENSG00000079739 or ENSG00000169299,"5.4.2.2, 5.4.2.5, 5.4.2.6, 5.2.2.2",R08639,PGMT,PGMT
28,MAR04521,D-Glucose-6-phosphate phosphohydrolase,Glycolysis / Gluconeogenesis,MAM01968r + MAM02040r --> MAM01965r + MAM02751r,glucose-6-phosphate [r] + H2O [r] --> glucose [r] + Pi [r],0.0,1000.0,False,False,ENSG00000131482 or ENSG00000141349 or ENSG00000152254,3.1.3.9,R00303,"G6PPer, G6PP, R_G6PP, R_G6PPer",G6PPer
29,MAR06412,acetyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-acetyltransferase,Glycolysis / Gluconeogenesis,MAM01597m + MAM02869m --> MAM01261m + MAM01701m,CoA [m] + S-acetyldihydrolipoamide [m] --> acetyl-CoA [m] + dihydrolipoamide [m],0.0,1000.0,False,False,ENSG00000110435 and ENSG00000150768,2.3.1.12,R02569,,r0555
30,MAR07745,D-glucose 1-epimerase,Glycolysis / Gluconeogenesis,MAM01388c <=> MAM01965c,beta-D-glucose [c] <=> glucose [c],-1000.0,1000.0,True,False,ENSG00000143891,5.1.3.3,R01602,,HMR_7745
31,MAR07747,ADP:D-glucose 6-phosphotransferase,Glycolysis / Gluconeogenesis,MAM01285c + MAM01965c --> MAM01334c + MAM01968c + MAM02039c,ADP [c] + glucose [c] --> AMP [c] + glucose-6-phosphate [c] + H+ [c],0.0,1000.0,False,False,ENSG00000159322,2.7.1.147,R09086,,HMR_7747
32,MAR08360,,Glycolysis / Gluconeogenesis,MAM01796x + MAM02041x --> MAM01249x + 2.0 MAM02040x,ethanol [x] + H2O2 [x] --> acetaldehyde [x] + 2.0 H2O [x],0.0,1000.0,False,False,ENSG00000121691,1.11.1.6,,CAt7r,CAT2p
33,MAR08652,,Glycolysis / Gluconeogenesis,MAM01420r + MAM01965r --> MAM01596r + MAM01968r + MAM02578r,carbamoyl-phosphate [r] + glucose [r] --> CO2 [r] + glucose-6-phosphate [r] + NH3 [r],0.0,1000.0,False,False,ENSG00000131482 or ENSG00000141349 or ENSG00000152254,3.1.3.9,,CBPS,CBPPer
34,MAR08757,,Glycolysis / Gluconeogenesis,MAM01796c + MAM02039c + MAM02555c + MAM02630c --> MAM01249c + 2.0 MAM02040c + MAM02554c,ethanol [c] + H+ [c] + NADPH [c] + O2 [c] --> acetaldehyde [c] + 2.0 H2O [c] + NADP+ [c],0.0,1000.0,False,False,ENSG00000130649,,,ETOHtx,ETOHMO
35,MAR03989,maltose glucohydrolase,Starch and sucrose metabolism,MAM02040e + MAM02450e --> 2.0 MAM01965e,H2O [e] + maltose [e] --> 2.0 glucose [e],0.0,1000.0,False,False,ENSG00000092529 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335,3.2.1.20,R00028,MALTe,MALTe
36,MAR04122,UDP-glucose:NAD+ 6-oxidoreductase,Starch and sucrose metabolism,MAM02040c + 2.0 MAM02552c + MAM03108c --> 3.0 MAM02039c + 2.0 MAM02553c + MAM03109c,H2O [c] + 2.0 NAD+ [c] + UDP-glucose [c] --> 3.0 H+ [c] + 2.0 NADH [c] + UDP-glucuronate [c],0.0,1000.0,False,False,ENSG00000109814,1.1.1.22,R00286,UDPGD,UDPGD
37,MAR04837,"alpha,alpha-trehalose glucohydrolase",Starch and sucrose metabolism,MAM02040e + MAM03039e --> 2.0 MAM01965e,H2O [e] + trehalose [e] --> 2.0 glucose [e],0.0,1000.0,False,False,ENSG00000118094 or ENSG00000142102,3.2.1.28,R00010,TREHe,TREHe
38,MAR05395,UDP-alpha-D-glucose:glycogenin alpha-D-glucosyltransferase,Starch and sucrose metabolism,MAM01996c + 8.0 MAM03108c --> MAM01995c + 8.0 MAM02039c + 8.0 MAM03106c,glycogenin [c] + 8.0 UDP-glucose [c] --> glycogenin G8 [c] + 8.0 H+ [c] + 8.0 UDP [c],0.0,1000.0,False,False,ENSG00000056998 or ENSG00000163754,2.4.1.186,R03681,,"HMR_5395, GGNG"
39,MAR05396,,Starch and sucrose metabolism,MAM01995c + 3.0 MAM03108c --> MAM01990c + 3.0 MAM02039c + 3.0 MAM03106c,glycogenin G8 [c] + 3.0 UDP-glucose [c] --> glycogenin G11 [c] + 3.0 H+ [c] + 3.0 UDP [c],0.0,1000.0,False,False,ENSG00000056998 or ENSG00000104812 or ENSG00000111713 or ENSG00000163754,2.4.1.11,,GLGNS1,GLGNS1
40,MAR09727,,Starch and sucrose metabolism,MAM03108c --> MAM02039c + MAM03106c + MAM03161c,UDP-glucose [c] --> H+ [c] + UDP [c] + glycogen [c],0.0,1000.0,False,False,ENSG00000104812 or ENSG00000111713 or ENSG00000119938 or ENSG00000173281,2.4.1.11,,,HMR_9727
41,MAR05397,,Starch and sucrose metabolism,MAM01990c --> MAM01992c,glycogenin G11 [c] --> glycogenin G4G7 [c],0.0,1000.0,False,False,ENSG00000114480,2.4.1.18,,GLBRAN,GLBRAN
42,MAR05398,,Starch and sucrose metabolism,MAM01992c + 3.0 MAM02751c --> 3.0 MAM01967c + MAM01991c,glycogenin G4G7 [c] + 3.0 Pi [c] --> 3.0 glucose-1-phosphate [c] + glycogenin G4G4 [c],0.0,1000.0,False,False,ENSG00000068976 or ENSG00000100504 or ENSG00000100994,2.4.1.1,,GLPASE1,GLPASE1
43,MAR05399,,Starch and sucrose metabolism,MAM01991c --> MAM01994c,glycogenin G4G4 [c] --> glycogenin G7G1 [c],0.0,1000.0,False,False,ENSG00000162688,2.4.1.25,,,r1391
44,MAR05400,,Starch and sucrose metabolism,MAM01994c + MAM02040c --> MAM01965c + MAM01993c,glycogenin G7G1 [c] + H2O [c] --> glucose [c] + glycogenin G7 [c],0.0,1000.0,False,False,ENSG00000162688,3.2.1.33,,,r1392
45,MAR05401,,Starch and sucrose metabolism,MAM01993c + 7.0 MAM02751c --> 7.0 MAM01967c + MAM01996c,glycogenin G7 [c] + 7.0 Pi [c] --> 7.0 glucose-1-phosphate [c] + glycogenin [c],0.0,1000.0,False,False,ENSG00000068976 or ENSG00000100504 or ENSG00000100994,2.4.1.1,,,r1393
46,MAR08568,,Starch and sucrose metabolism,MAM02040c + MAM02445c --> MAM01840c + MAM02448c,H2O [c] + maltodecaose [c] --> fructose [c] + maltononaose [c],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,RE0958C
47,MAR08569,,Starch and sucrose metabolism,MAM02040e + MAM02445e --> MAM01965e + MAM02448e,H2O [e] + maltodecaose [e] --> glucose [e] + maltononaose [e],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,RE0958E
48,MAR08570,,Starch and sucrose metabolism,2.0 MAM02040c + MAM02448c --> 2.0 MAM01840c + MAM02446c,2.0 H2O [c] + maltononaose [c] --> 2.0 fructose [c] + maltoheptaose [c],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,HMR_8570
49,MAR08571,,Starch and sucrose metabolism,2.0 MAM02040e + MAM02448e --> 2.0 MAM01965e + MAM02446e,2.0 H2O [e] + maltononaose [e] --> 2.0 glucose [e] + maltoheptaose [e],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,HMR_8571
50,MAR08572,,Starch and sucrose metabolism,MAM02040c + MAM02446c --> MAM01840c + MAM02447c,H2O [c] + maltoheptaose [c] --> fructose [c] + maltohexaose [c],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,"HMR_8572, RE0944C"
51,MAR08573,,Starch and sucrose metabolism,MAM02040e + MAM02446e --> MAM01965e + MAM02447e,H2O [e] + maltoheptaose [e] --> glucose [e] + maltohexaose [e],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,"HMR_8573, RE0944E"
52,MAR08574,,Starch and sucrose metabolism,MAM02040c + MAM02447c --> MAM01840c + MAM02449c,H2O [c] + maltohexaose [c] --> fructose [c] + maltopentaose [c],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,"HMR_8574, RE0935C"
53,MAR08575,,Starch and sucrose metabolism,MAM02040e + MAM02447e --> MAM01965e + MAM02449e,H2O [e] + maltohexaose [e] --> glucose [e] + maltopentaose [e],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,"HMR_8575, RE0935E"
54,MAR08576,,Starch and sucrose metabolism,MAM02040c + MAM02449c --> MAM01840c + MAM02451c,H2O [c] + maltopentaose [c] --> fructose [c] + maltotetraose [c],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,"HMR_8576, RE0926C"
55,MAR08577,,Starch and sucrose metabolism,MAM02040e + MAM02449e --> MAM01965e + MAM02451e,H2O [e] + maltopentaose [e] --> glucose [e] + maltotetraose [e],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,"HMR_8577, RE0926E"
56,MAR08578,,Starch and sucrose metabolism,MAM02040c + MAM02451c --> MAM01840c + MAM02452c,H2O [c] + maltotetraose [c] --> fructose [c] + maltotriose [c],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,"HMR_8578, RE0915C"
57,MAR08579,,Starch and sucrose metabolism,MAM02040e + MAM02451e --> MAM01965e + MAM02452e,H2O [e] + maltotetraose [e] --> glucose [e] + maltotriose [e],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,"HMR_8579, RE0915E"
58,MAR08581,,Starch and sucrose metabolism,MAM02040e + MAM02452e --> MAM01965e + MAM02450e,H2O [e] + maltotriose [e] --> glucose [e] + maltose [e],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,MLTG1e
59,MAR08591,,Starch and sucrose metabolism,MAM02040c + MAM02452c --> MAM01965c + MAM02450c,H2O [c] + maltotriose [c] --> glucose [c] + maltose [c],0.0,1000.0,False,False,ENSG00000214013 or ENSG00000257335,3.2.1.20,,MLTG1,MLTG1
60,MAR08592,,Starch and sucrose metabolism,MAM02040l + MAM02452l --> MAM01965l + MAM02450l,H2O [l] + maltotriose [l] --> glucose [l] + maltose [l],0.0,1000.0,False,False,ENSG00000171298,3.2.1.20,,MLTG1ly,MLTG1ly
61,MAR08580,,Starch and sucrose metabolism,MAM02040c + MAM02452c --> MAM01840c + MAM02450c,H2O [c] + maltotriose [c] --> fructose [c] + maltose [c],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,HMR_8580
62,MAR08582,,Starch and sucrose metabolism,MAM02040c + MAM02450c --> 2.0 MAM01840c,H2O [c] + maltose [c] --> 2.0 fructose [c],0.0,1000.0,False,False,ENSG00000120563 or ENSG00000174876 or ENSG00000187733 or ENSG00000237763 or ENSG00000240038 or ENSG00000243480,3.2.1.1,,,HMR_8582
63,MAR08587,maltose glucohydrolase,Starch and sucrose metabolism,MAM02040c + MAM02450c --> 2.0 MAM01965c,H2O [c] + maltose [c] --> 2.0 glucose [c],0.0,1000.0,False,False,ENSG00000214013 or ENSG00000257335,3.2.1.20,R00028,MALT,MALT
64,MAR08589,maltose glucohydrolase,Starch and sucrose metabolism,MAM02040l + MAM02450l --> 2.0 MAM01965l,H2O [l] + maltose [l] --> 2.0 glucose [l],0.0,1000.0,False,False,ENSG00000171298,3.2.1.20,R00028,MALTly,MALTly
65,MAR08583,"1,4-alpha-D-Glucan glucohydrolase",Starch and sucrose metabolism,8.0 MAM02040e + MAM02936e --> 8.0 MAM01965e + MAM02937e,8.0 H2O [e] + starch structure 1 [e] --> 8.0 glucose [e] + starch structure 2 [e],0.0,1000.0,False,False,ENSG00000257335,3.2.1.3,R01790,AMY1e,AMY1e
66,MAR08584,,Starch and sucrose metabolism,MAM02040e + MAM02937e --> MAM01965e + MAM02450e,H2O [e] + starch structure 2 [e] --> glucose [e] + maltose [e],0.0,1000.0,False,False,ENSG00000090402,3.2.1.10,,O16G2e,O16G2e
67,MAR08585,3-phospho-D-glyceroyl-phosphate:alpha-D-glucose-1-phosphate 6-phosphotransferase,Starch and sucrose metabolism,MAM00247c + MAM01967c --> MAM00913c + MAM01966c,"1,3-bisphospho-D-glycerate [c] + glucose-1-phosphate [c] --> 3-phospho-D-glycerate [c] + glucose-1,6-bisphosphate [c]",0.0,1000.0,False,False,ENSG00000165434,2.7.1.106,R01660,,HMR_8585
68,MAR03944,UTP:alpha-D-glucose-1-phosphate uridylyltransferase,Galactose metabolism,MAM01967c + MAM02039c + MAM03130c --> MAM02759c + MAM03108c,glucose-1-phosphate [c] + H+ [c] + UTP [c] --> PPi [c] + UDP-glucose [c],0.0,1000.0,False,False,ENSG00000169764,2.7.7.9,R00289,GALUi,GALU
69,MAR04128,UDP-glucose 4-epimerase,Galactose metabolism,MAM03107c <=> MAM03108c,UDP-galactose [c] <=> UDP-glucose [c],-1000.0,1000.0,True,False,ENSG00000117308,5.1.3.2,R00291,UDPG4E,UDPG4E
70,MAR04130,,Galactose metabolism,MAM01371c + MAM01910c --> MAM01285c + MAM01322c + MAM02039c,ATP [c] + galactose [c] --> ADP [c] + alpha-D-galactose-1-phosphate [c] + H+ [c],0.0,1000.0,False,False,ENSG00000108479 or ENSG00000156958,2.7.1.6,,GALKr,GALK
71,MAR04131,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,Galactose metabolism,MAM01967c + MAM03107c <=> MAM01322c + MAM03108c,glucose-1-phosphate [c] + UDP-galactose [c] <=> alpha-D-galactose-1-phosphate [c] + UDP-glucose [c],-1000.0,1000.0,True,False,ENSG00000213930,2.7.7.12,R00955,UGLT,UGLT
72,MAR04132,UDP-glucose:alpha-D-galactose-1-phosphate uridylyltransferase,Galactose metabolism,MAM01911c + MAM03108c --> MAM01967c + MAM03107c,galactose-1-phosphate [c] + UDP-glucose [c] --> glucose-1-phosphate [c] + UDP-galactose [c],0.0,1000.0,False,False,ENSG00000213930,2.7.7.12,R00955,,UGLT
73,MAR04303,sucrose glucohydrolase,Galactose metabolism,MAM02040e + MAM02945e --> MAM01840e + MAM01965e,H2O [e] + sucrose [e] --> fructose [e] + glucose [e],0.0,1000.0,False,False,ENSG00000090402 or ENSG00000171298 or ENSG00000214013 or ENSG00000257335,"3.2.1.10, 3.2.1.20, 3.2.1.48",R00801,SUCRe,SUCRe
74,MAR04414,ATP:alpha-D-galactose 1-phosphotransferase,Galactose metabolism,MAM01371c + MAM01910c --> MAM01285c + MAM01911c + MAM02039c,ATP [c] + galactose [c] --> ADP [c] + galactose-1-phosphate [c] + H+ [c],0.0,1000.0,False,False,ENSG00000108479 or ENSG00000156958 or ENSG00000166262,2.7.1.6,R01092,,GALK
75,MAR04415,Lactose galactohydrolase,Galactose metabolism,MAM02040e + MAM02332e --> MAM01910e + MAM01965e,H2O [e] + lactose [e] --> galactose [e] + glucose [e],0.0,1000.0,False,False,ENSG00000115850 and ENSG00000163521 and ENSG00000170266 and ENSG00000188167,"3.2.1.23, 3.2.1.108",R01100,LACZe,LACZe
76,MAR04416,Galactosylglycerol galactohydrolase,Galactose metabolism,MAM01913e + MAM02040e --> MAM01910e + MAM01983e,galactosylglycerol [e] + H2O [e] --> galactose [e] + glycerol [e],0.0,1000.0,False,False,ENSG00000102393 or ENSG00000170266 or ENSG00000241343,"3.2.1.22, 3.2.1.23",R01104,,r0627
77,MAR04831,Lactose:(acceptor) 3-oxidoreductase,Galactose metabolism,MAM02332e + MAM02552e <=> MAM00812e + MAM02039e + MAM02553e,lactose [e] + NAD+ [e] <=> 3-ketolactose [e] + H+ [e] + NADH [e],-1000.0,1000.0,True,False,,1.1.99.13,R01680,,HMR_4831
78,MAR04832,3-Ketolactose galactohydrolase,Galactose metabolism,MAM00810e + MAM01965e <=> MAM00812e + MAM02040e,3-keto-beta-D-galactose [e] + glucose [e] <=> 3-ketolactose [e] + H2O [e],-1000.0,1000.0,True,False,ENSG00000115850 and ENSG00000163521 and ENSG00000170266 and ENSG00000188167,3.2.1.23,R04783,,r0737
