,ID,Name,Formula,Formula weight,Charge,Compartment,KEGG,BiGG,ChEBI,VMH,Reactions
300,MAM00135l,"(9Z,12Z,15Z,18Z,21Z)-TPA",C24H37O2,357.54938,-1,l,,tetpent3,,tetpent3,"MAR03579, MAR09752"
301,MAM00135r,"(9Z,12Z,15Z,18Z,21Z)-TPA",C24H37O2,357.54938,-1,r,,tetpent3,,tetpent3,"MAR03725, MAR10034, MAR05257, MAR02986"
302,MAM00135e,"(9Z,12Z,15Z,18Z,21Z)-TPA",C24H37O2,357.54938,-1,e,,tetpent3,,tetpent3,"MAR00371, MAR00016, MAR00012, MAR00368, MAR00015, MAR00698"
303,MAM00136c,(ADP-D-ribosyl)n+1-acceptor,X,,0,c,C03245,,,M00136,MAR09487
304,MAM00137c,(ADP-D-ribosyl)n-acceptor,C15H19N5O13P2X,,0,c,C03245,,,M00137,MAR09487
305,MAM00138g,(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C76H127N2O60X,,0,g,,g1m8masn,,g1m8masn,"MAR00473, MAR07297, MAR07303"
306,MAM00138r,(alpha-D-Glucosyl)-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C76H127N2O60X,,0,r,,g1m8masn,,g1m8masn,"MAR07287, MAR07290, MAR07289, MAR07297, MAR07288"
307,MAM00139g,(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C82H137N2O65X,,0,g,,g2m8masn,,g2m8masn,"MAR07296, MAR07302, MAR00474"
308,MAM00139r,(alpha-D-Glucosyl)2-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C82H137N2O65X,,0,r,,g2m8masn,,g2m8masn,"MAR07296, MAR07287, MAR07286"
309,MAM00140g,(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C88H147N2O70X,,0,g,,g3m8masn,,g3m8masn,"MAR07301, MAR00475, MAR07295"
310,MAM00140r,(alpha-D-Glucosyl)3-(alpha-D-mannosyl)8-beta-D-mannosyl-diacetylchitobiosyl-L-asparagine (protein),C88H147N2O70X,,0,r,,g3m8masn,,g3m8masn,"MAR07285, MAR07295, MAR07286"
